Artikelnummer;Oms1;Oms2;Oms3;Zoeknaam;Groep;EAN;Verkoopprijs;Eenheid;Prijs per;Voorraad
WE12LM 16       ;METR.HAAKSE INSCHR.KOPPELING;;;WE12LM16;F0401065;;10.51;ST      ;1;17
WE12LN 1/2      ;NPT HAAKSE INSCHR.KOPPELING;;;WE12LN1/;F0401069;;20.17;ST      ;1;25
WE12LN 1/4      ;NPT HAAKSE INSCHR.KOPPELING;;;WE12LN1/;F0401069;;13.45;ST      ;1;54
WE12LN 3/8      ;NPT HAAKSE INSCHR.KOPPELING;;;WE12LN3/;F0401069;;11.75;ST      ;1;5
WE12LN 3/8.1    ;NPT HAAKSE INSCHR.KOPPELING;;;WE12LN3/;F0401069;;10.25;ST      ;1;3
WE12LR 1/2      ;BSP HAAKSE INSCHR.KOPPELING;;;WE12LR1/;F0401067;;22.02;ST      ;1;6
WE12LR 1/2.1    ;BSP HAAKSE INSCHR.KOPPELING;;;WE12LR1/;F0401067;;20.52;ST      ;1;47
WE12LR 1/4      ;BSP HAAKSE INSCHR.KOPPELING;;;WE12LR1/;F0401067;;14.43;ST      ;1;15
WE12LR 1/4.1    ;BSP HAAKSE INSCHR.KOPPELING;;;WE12LR1/;F0401067;;12.94;ST      ;1;150
WE12LR 3/8      ;BSP HAAKSE INSCHR.KOPPELING;;;WE12LR3/;F0401067;;10.08;ST      ;1;23
WE12LR 3/8.1    ;BSP HAAKSE INSCHR.KOPPELING;;;WE12LR3/;F0401067;;8.76;ST      ;1;246
WE12LRO 3/8     ;BSP HAAKSE INSCHR.KOPPELING;INSTELBAAR;;WE12LRO ;F0401067;;17.35;ST      ;1;51
WE12SM 18       ;METR.HAAKSE INSCHR.KOPPELING;;;WE12SM18;F0401066;;13.24;ST      ;1;7
WE12SN 3/8      ;NPT HAAKSE INSCHR.KOPPELING;;;WE12SN3/;F0401070;;13.42;ST      ;1;19
WE12SR 1/2      ;BSP HAAKSE INSCHR.KOPPELING;;;WE12SR1/;F0401068;;18.31;ST      ;1;3
WE12SR 3/8      ;BSP HAAKSE INSCHR.KOPPELING;;;WE12SR3/;F0401068;;12.23;ST      ;1;31
WE14SM 20       ;METR.HAAKSE INSCHR.KOPPELING;;;WE14SM20;F0401066;;28.81;ST      ;1;22
WE14SN 1/2      ;NPT HAAKSE INSCHR.KOPPELING;;;WE14SN1/;F0401070;;29.21;ST      ;1;3
WE14SR 1/2      ;BSP HAAKSE INSCHR.KOPPELING;;;WE14SR1/;F0401068;;26.65;ST      ;1;10
WE15LM 18       ;METR.HAAKSE INSCHR.KOPPELING;;;WE15LM18;F0401065;;15.14;ST      ;1;5
WE15LN 1/2      ;NPT HAAKSE INSCHR.KOPPELING;;;WE15LN1/;F0401069;;15.41;ST      ;1;11
WE15LR 1/2      ;BSP HAAKSE INSCHR.KOPPELING;;;WE15LR1/;F0401067;;12.3;ST      ;1;20
WE15LR 1/2.1    ;BSP HAAKSE INSCHR.KOPPELING;;;WE15LR1/;F0401067;;10.55;ST      ;1;17
WE15LR 3/8      ;BSP HAAKSE INSCHR.KOPPELING;;;WE15LR3/;F0401067;;16.59;ST      ;1;8
WE15LRO 1/2     ;BSP HAAKSE INSCHR.KOPPELING;INSTELBAAR;;WE15LRO ;F0401067;;20.67;ST      ;1;10
WE16SM 22       ;METR.HAAKSE INSCHR.KOPPELING;;;WE16SM22;F0401066;;25.5;ST      ;1;11
WE16SN 1/2      ;NPT HAAKSE INSCHR.KOPPELING;;;WE16SN1/;F0401070;;20.26;ST      ;1;6
WE16SR 1/2      ;BSP HAAKSE INSCHR.KOPPELING;;;WE16SR1/;F0401068;;17.85;ST      ;1;31
WE16SR 1/2.1    ;BSP HAAKSE INSCHR.KOPPELING;;;WE16SR1/;F0401068;;14.33;ST      ;1;26
WE18LM 22       ;METR.HAAKSE INSCHR.KOPPELING;;;WE18LM22;F0401065;;21.72;ST      ;1;3
WE18LN 1/2      ;NPT HAAKSE INSCHR.KOPPELING;;;WE18LN1/;F0401069;;22.94;ST      ;1;16
WE18LR 1/2      ;BSP HAAKSE INSCHR.KOPPELING;;;WE18LR1/;F0401067;;16.46;ST      ;1;25
WE18LR 1/2.1    ;BSP HAAKSE INSCHR.KOPPELING;;;WE18LR1/;F0401067;;13.11;ST      ;1;0
WE18LR 3/4      ;BSP HAAKSE INSCHR.KOPPELING;;;WE18LR3/;F0401067;;44.76;ST      ;1;0
WE20SN 3/4      ;NPT HAAKSE INSCHR.KOPPELING;;;WE20SN3/;F0401070;;32.07;ST      ;1;32
WE20SR 1/2      ;BSP HAAKSE INSCHR.KOPPELING;;;WE20SR1/;F0401068;;48.17;ST      ;1;3
WE20SR 3/4      ;BSP HAAKSE INSCHR.KOPPELING;;;WE20SR3/;F0401068;;44.9;ST      ;1;10
WE20SR 3/4 P    ;BSP HAAKSE INSCHR.KOPPELING;PARRALEL DRAAD;;WE20SR3/;F0401068;;31.44;ST      ;1;0
WE20SR 3/4 P.1  ;BSP HAAKSE INSCHR.KOPPELING;PARALEL DRAAD;;WE20SR3/;F0401068;;43.97;ST      ;1;340
WE20SR 3/4.1    ;BSP HAAKSE INSCHR.KOPPELING;;;WE20SR3/;F0401068;;38.92;ST      ;1;0
WE22LN 3/4      ;NPT HAAKSE INSCHR.KOPPELING;;;WE22LN3/;F0401069;;29.23;ST      ;1;7
WE22LR 3/4      ;BSP HAAKSE INSCHR.KOPPELING;;;WE22LR3/;F0401067;;34.59;ST      ;1;3
WE25SM 33       ;METR.HAAKSE INSCHR.KOPPELING;;;WE25SM33;F0401066;;0;ST      ;1;0
WE25SN 1        ;NPT HAAKSE INSCHR.KOPPELING;;;WE25SN1 ;F0401070;;61.49;ST      ;1;3
WE25SR 1        ;BSP HAAKSE INSCHR.KOPPELING;;;WE25SR1 ;F0401068;;55.1;ST      ;1;15
WE25SR 1 P.1    ;BSP HAAKSE INSCHR.KOPPELING;PARRALEL DRAAD;;WE25SR1 ;F0401068;;46.17;ST      ;1;152
WE25SR 3/4      ;BSP HAAKSE INSCHR.KOPPELING;;;WE25SR3/;F0401068;;122.49;ST      ;1;19
WE25SR 3/4.1 P  ;BSP HAAKSE INSCHR.KOPPELING;PARRALEL DRAAD;;WE25SR3/;F0401068;;52.12;ST      ;1;-179
WE28LN 1        ;NPT HAAKSE INSCHR.KOPPELING;;;WE28LN1 ;F0401069;;47.98;ST      ;1;9
WE28LR          ;BSP HAAKSE INSCHR.KOPPELING;;;WE28LR  ;F0401067;;53.56;ST      ;1;3
