Laag;Groep;Volgnummer
2;F1501003;Aanzuigfilter
2;F1501004;Tankretourfilter
2;F1501005;Filterelement
2;F1501200;RMF filterdelen
2;F1501202;NTZ filterdelen
2;F1502000;Messing fitwerk
2;F1503001;OLIEKOELERS EN TANKVERWARMERS
2;F1503002;THERMOSTAAT
2;F1503003;DRUKSENSOREN
2;F1503004;GALLI ERIO SLANGHASPELS
2;F1504001;Onderdelen Compact unit
2;F1504350;Compactunit samengesteld
2;F1601001;Bosch pomp
2;F1601002;Tandwielpomp
2;F1601003;Dubbelpomp
2;F1601004;CBF handpomp
2;F1601005;Tandwielmotor
2;F1601006;Torquemotor
2;F1601007;Aansluitflensen
2;F1601008;Pompdelen
2;F1601009;Plungerpomp
2;F1601010;Tandwielkasten
2;F1602000;Inox slangkoppelingen en hulsen
2;F1604000;Inox Snijringkoppelingen
2;F1605000;Inox adapters
2;F1701001;Bonded seal bsp
2;F1701002;Bonded seal metrisch
2;F1701003;Borgmiddel
2;F1701019;Oringen 90SH
2;F1701020;Oringen 70SH
2;F1701021;Flensafdichtingen
2;F1701022;Koperen ringen
2;F1801001;Draaibare koppelingen
2;F1901001;Handpersen
2;F1901002;Electrische persen werkplaats
2;F1901003;Elektrische persen Industrie
2;F1901005;Colpin
2;F1901006;Voetpomp
2;F1901007;Buigijzer
2;F1901008;Schilmachine
2;F1901009;Slangafkortmachine
2;F1901020;Testapparatuur
2;F1901035;SAMENGESTELD BEKKENSET
2;F1902000;Electrisch materiaal
2;F1905000;Magazijnbak
2;F2101001;Brandstofdelen
2;F2102001;Airco delen
